dataset,arm,permuted,seed,fold,auprc,kappa,n_test
sweep_42093,mean_impute,0,0,0,0.9984504762095008,1811.0,20000
sweep_42093,mean_indicator,0,0,0,0.9980805084117298,1811.0,20000
sweep_42093,mask_interaction,0,0,0,0.9988601640064314,1811.0,20000
sweep_42093,histgb_native,0,0,0,0.9999869292555572,1811.0,20000
sweep_42093,pattern_submodels,0,0,0,0.8844475201602293,1811.0,20000
sweep_42093,ours,0,0,0,0.8843734207126838,1811.0,20000
sweep_42093,ours_projected,0,0,0,0.8843618703098581,1811.0,20000
sweep_42093,exact_submodels,0,0,0,0.8729763970631144,1811.0,20000
sweep_42093,exact_cv,0,0,0,0.8742141829167824,1811.0,20000
sweep_42093,family_cv,0,0,0,0.8865263462636328,1811.0,20000
sweep_42093,mean_indicator,1,0,0,0.9888514631559836,1811.0,20000
sweep_42093,mask_interaction,1,0,0,0.993497154237574,1811.0,20000
sweep_42093,ours,1,0,0,0.8799027809699627,1811.0,20000
sweep_42093,exact_submodels,1,0,0,0.8012324424977885,1811.0,20000
sweep_42093,mean_impute,1,0,0,0.9889587557752338,1811.0,20000
sweep_42093,mean_impute,0,0,1,0.990564466498456,1719.5,20000
sweep_42093,mean_indicator,0,0,1,0.9984556302059704,1719.5,20000
sweep_42093,mask_interaction,0,0,1,0.994011763478145,1719.5,20000
sweep_42093,histgb_native,0,0,1,0.999993178902372,1719.5,20000
sweep_42093,pattern_submodels,0,0,1,0.8826958924499717,1719.5,20000
sweep_42093,ours,0,0,1,0.882634778233635,1719.5,20000
sweep_42093,ours_projected,0,0,1,0.8827376786260217,1719.5,20000
sweep_42093,exact_submodels,0,0,1,0.8700042971699898,1719.5,20000
sweep_42093,exact_cv,0,0,1,0.8710962407830795,1719.5,20000
sweep_42093,family_cv,0,0,1,0.8846939458251356,1719.5,20000
sweep_42093,mean_indicator,1,0,1,0.9780255118170816,1719.5,20000
sweep_42093,mask_interaction,1,0,1,0.989709263881474,1719.5,20000
sweep_42093,ours,1,0,1,0.877046482964501,1719.5,20000
sweep_42093,exact_submodels,1,0,1,0.7968098386347989,1719.5,20000
sweep_42093,mean_impute,1,0,1,0.978514838026,1719.5,20000
sweep_42093,mean_impute,0,0,2,0.9903261773032132,1765.0,20000
sweep_42093,mean_indicator,0,0,2,0.9982545082567696,1765.0,20000
sweep_42093,mask_interaction,0,0,2,0.9946431376103276,1765.0,20000
sweep_42093,histgb_native,0,0,2,0.9999397548425633,1765.0,20000
sweep_42093,pattern_submodels,0,0,2,0.8847605391758824,1765.0,20000
sweep_42093,ours,0,0,2,0.8847187138272729,1765.0,20000
sweep_42093,ours_projected,0,0,2,0.8847391149885163,1765.0,20000
sweep_42093,exact_submodels,0,0,2,0.8702602398870707,1765.0,20000
sweep_42093,exact_cv,0,0,2,0.8710780439212732,1765.0,20000
sweep_42093,family_cv,0,0,2,0.886565646925972,1765.0,20000
