dataset,arm,permuted,seed,fold,auprc,kappa,n_test
sweep_42333,mean_impute,0,0,0,0.9819585178217369,2155.0,8914
sweep_42333,mean_indicator,0,0,0,0.9829089639039629,2155.0,8914
sweep_42333,mask_interaction,0,0,0,0.9829018889985999,2155.0,8914
sweep_42333,histgb_native,0,0,0,0.9946067113758094,2155.0,8914
sweep_42333,pattern_submodels,0,0,0,0.9829559523242143,2155.0,8914
sweep_42333,ours,0,0,0,0.9823485343793237,2155.0,8914
sweep_42333,ours_projected,0,0,0,0.9826887943648516,2155.0,8914
sweep_42333,exact_submodels,0,0,0,0.9781260197228527,2155.0,8914
sweep_42333,exact_cv,0,0,0,0.9781260197228527,2155.0,8914
sweep_42333,family_cv,0,0,0,0.9829559523242143,2155.0,8914
sweep_42333,mean_indicator,1,0,0,0.977877459338692,2155.0,8914
sweep_42333,mask_interaction,1,0,0,0.9780304213010378,2155.0,8914
sweep_42333,ours,1,0,0,0.9716258969790745,2155.0,8914
sweep_42333,exact_submodels,1,0,0,0.9731633582614312,2155.0,8914
sweep_42333,mean_impute,1,0,0,0.977686312785159,2155.0,8914
sweep_42333,mean_impute,0,0,1,0.9793404125007362,2222.0,8914
sweep_42333,mean_indicator,0,0,1,0.9820826028373811,2222.0,8914
sweep_42333,mask_interaction,0,0,1,0.9798986392380028,2222.0,8914
sweep_42333,histgb_native,0,0,1,0.9943144953857268,2222.0,8914
sweep_42333,pattern_submodels,0,0,1,0.9781057860879067,2222.0,8914
sweep_42333,ours,0,0,1,0.977165010189051,2222.0,8914
sweep_42333,ours_projected,0,0,1,0.9784956786144041,2222.0,8914
sweep_42333,exact_submodels,0,0,1,0.9819349757168971,2222.0,8914
sweep_42333,exact_cv,0,0,1,0.9827695948392788,2222.0,8914
sweep_42333,family_cv,0,0,1,0.9781057860879067,2222.0,8914
sweep_42333,mean_indicator,1,0,1,0.9760215093506667,2222.0,8914
sweep_42333,mask_interaction,1,0,1,0.9760347468202482,2222.0,8914
sweep_42333,ours,1,0,1,0.9671023014943377,2222.0,8914
sweep_42333,exact_submodels,1,0,1,0.971276898564571,2222.0,8914
sweep_42333,mean_impute,1,0,1,0.9758485540937005,2222.0,8914
sweep_42333,mean_impute,0,0,2,0.9804483094941067,2142.0,8913
sweep_42333,mean_indicator,0,0,2,0.9829685671438515,2142.0,8913
sweep_42333,mask_interaction,0,0,2,0.9800684847646265,2142.0,8913
sweep_42333,histgb_native,0,0,2,0.9948581987692819,2142.0,8913
sweep_42333,pattern_submodels,0,0,2,0.9801745524495058,2142.0,8913
sweep_42333,ours,0,0,2,0.9796358202747845,2142.0,8913
sweep_42333,ours_projected,0,0,2,0.9796786301250433,2142.0,8913
sweep_42333,exact_submodels,0,0,2,0.9794003901116309,2142.0,8913
sweep_42333,exact_cv,0,0,2,0.9814596635996272,2142.0,8913
sweep_42333,family_cv,0,0,2,0.9801745524495058,2142.0,8913
sweep_42333,mean_indicator,1,0,2,0.9768724563199063,2142.0,8913
sweep_42333,mask_interaction,1,0,2,0.9769584977398269,2142.0,8913
sweep_42333,ours,1,0,2,0.9699833673432453,2142.0,8913
sweep_42333,exact_submodels,1,0,2,0.9708412437458943,2142.0,8913
sweep_42333,mean_impute,1,0,2,0.9762527101646549,2142.0,8913
sweep_42333,mean_impute,0,0,3,0.9806407337802944,2177.0,8913
sweep_42333,mean_indicator,0,0,3,0.983581222546873,2177.0,8913
sweep_42333,mask_interaction,0,0,3,0.9804053891535749,2177.0,8913
sweep_42333,histgb_native,0,0,3,0.9954868044388308,2177.0,8913
sweep_42333,pattern_submodels,0,0,3,0.9819191648379038,2177.0,8913
sweep_42333,ours,0,0,3,0.9811732369447759,2177.0,8913
sweep_42333,ours_projected,0,0,3,0.980977188777039,2177.0,8913
sweep_42333,exact_submodels,0,0,3,0.9828570339329281,2177.0,8913
sweep_42333,exact_cv,0,0,3,0.9837752488718677,2177.0,8913
sweep_42333,family_cv,0,0,3,0.9819191648379038,2177.0,8913
sweep_42333,mean_indicator,1,0,3,0.9763621903532125,2177.0,8913
sweep_42333,mask_interaction,1,0,3,0.9763789141757402,2177.0,8913
sweep_42333,ours,1,0,3,0.96749345284833,2177.0,8913
sweep_42333,exact_submodels,1,0,3,0.9688071405007598,2177.0,8913
sweep_42333,mean_impute,1,0,3,0.9763367598765306,2177.0,8913
sweep_42333,mean_impute,0,0,4,0.9811901649609589,2142.0,8913
sweep_42333,mean_indicator,0,0,4,0.9835751733266865,2142.0,8913
sweep_42333,mask_interaction,0,0,4,0.9816302464547118,2142.0,8913
sweep_42333,histgb_native,0,0,4,0.9948441690332065,2142.0,8913
sweep_42333,pattern_submodels,0,0,4,0.9837853688739376,2142.0,8913
sweep_42333,ours,0,0,4,0.9830841537273698,2142.0,8913
sweep_42333,ours_projected,0,0,4,0.9803877940376724,2142.0,8913
sweep_42333,exact_submodels,0,0,4,0.9801501511397868,2142.0,8913
sweep_42333,exact_cv,0,0,4,0.9820105392654211,2142.0,8913
sweep_42333,family_cv,0,0,4,0.9837853688739376,2142.0,8913
sweep_42333,mean_indicator,1,0,4,0.9724449186569761,2142.0,8913
sweep_42333,mask_interaction,1,0,4,0.9727480081616522,2142.0,8913
sweep_42333,ours,1,0,4,0.9708741859419415,2142.0,8913
sweep_42333,exact_submodels,1,0,4,0.9695705657060592,2142.0,8913
sweep_42333,mean_impute,1,0,4,0.9716921008498477,2142.0,8913
sweep_42333,mean_impute,0,1,0,0.9808576451935197,2208.5,8914
sweep_42333,mean_indicator,0,1,0,0.9838145539041274,2208.5,8914
sweep_42333,mask_interaction,0,1,0,0.9811372428415392,2208.5,8914
